,Id,Contingut,Bloc,Matèria,Necessari per,Relacionat amb
156,MII.1.12,Confiança en les pròpies capacitats per desenvolupar actituds adequades i afrontar les dificultats pròpies del treball científic,"Bloc 1. Processos, mètodes i actituds en matemàtiques",Matemàtiques II,,
157,MII.1.13,"Utilització de mitjans tecnològics en el procés d’aprenentatge per: a) Recollir dades de forma ordenada i organitzar-les. b) Elaborar i crear representacions gràfiques de dades numèriques, funcionals o estadístiques. c) Facilitar la comprensió de propietats geomètriques o funcionals i la realització de càlculs de tipus numèric, algebraic o estadístic. d) Dissenyar simulacions i elaborar prediccions sobre situacions matemàtiques diverses. e) Elaborar informes i documents sobre els processos duits a terme i els resultats i conclusions obtinguts. f) Comunicar i compartir, en entorns apropiats, la informació i les idees matemàtiques","Bloc 1. Processos, mètodes i actituds en matemàtiques",Matemàtiques II,,
158,MII.2.1,Estudi de les matrius com a eina per tractar i operar amb dades estructurades en taules i grafs,Bloc 2. Nombres i àlgebra,Matemàtiques II,,
159,MII.2.2,Classificació de matrius. Operacions,Bloc 2. Nombres i àlgebra,Matemàtiques II,,
160,MII.2.3,Aplicació de les operacions amb matrius i de les seves propietats en la resolució de problemes extrets de contextos reals,Bloc 2. Nombres i àlgebra,Matemàtiques II,,
161,MII.2.4,Determinants. Propietats elementals,Bloc 2. Nombres i àlgebra,Matemàtiques II,,
162,MII.2.5,Rang d’una matriu,Bloc 2. Nombres i àlgebra,Matemàtiques II,,
163,MII.2.6,Matriu inversa,Bloc 2. Nombres i àlgebra,Matemàtiques II,,
164,MII.2.7,Representació matricial d’un sistema: discussió i resolució de sistemes d’equacionslineals. Mètode de Gauss. Regla de Cramer. Aplicació a la resolució de problemes,Bloc 2. Nombres i àlgebra,Matemàtiques II,,
165,MII.3.1,Límit d’una funció en un punt i en l’infinit. Continuïtat d’una funció. Tipus de discontinuïtat. Teorema de Bolzano,Bloc 3. Anàlisi,Matemàtiques II,,
166,MII.3.2,Funció derivada. Teoremes de Rolle i del valor mitjà. La regla de L’Hôpital. Aplicació al càlcul de límits,Bloc 3. Anàlisi,Matemàtiques II,,
167,MII.3.3,Aplicacions de la derivada: problemes d’optimització,Bloc 3. Anàlisi,Matemàtiques II,,
168,MII.3.4,Primitiva d’una funció. La integral indefinida. Tècniques elementals per al càlcul de primitives,Bloc 3. Anàlisi,Matemàtiques II,,
169,MII.3.5,La integral definida. Teoremes del valor mitjà i fonamental del càlcul integral,Bloc 3. Anàlisi,Matemàtiques II,,
170,MII.3.6,Aplicació al càlcul d’àrees de regions planes,Bloc 3. Anàlisi,Matemàtiques II,,
171,MII.4.1,"Vectors en l’espai tridimensional. Producte escalar, vectorial i mixt. Significat geomètric",Bloc 4. Geometria,Matemàtiques II,,
172,MII.4.2,Equacions de la recta i el pla en l’espai,Bloc 4. Geometria,Matemàtiques II,,
173,MII.4.3,"Posicions relatives (incidència, paral·lelisme i perpendicularitat entre rectes i plans)",Bloc 4. Geometria,Matemàtiques II,,
174,MII.4.4,"Propietats mètriques (càlcul d’angles, distàncies, àrees i volums)",Bloc 4. Geometria,Matemàtiques II,,
175,MII.5.1,Esdeveniments. Assignació de probabilitats a esdeveniments mitjançant la regla de Laplace i a partir de la seva freqüència relativa. Axiomàtica de Kolmogorov,Bloc 5. Estadística i probabilitat,Matemàtiques II,,
176,MII.5.2,Aplicació de la combinatòria al càlcul de probabilitats,Bloc 5. Estadística i probabilitat,Matemàtiques II,,
177,MII.5.3,Experiments simples i compostos. Probabilitat condicionada. Dependència i independència d’esdeveniments,Bloc 5. Estadística i probabilitat,Matemàtiques II,,
178,MII.5.4,Teoremes de la probabilitat total i de Bayes. Probabilitats inicials i finals i versemblança d’un esdeveniment,Bloc 5. Estadística i probabilitat,Matemàtiques II,,
179,MII.5.5,"Variables aleatòries discretes. Distribució de probabilitat. Mitjana, variància i desviació típica",Bloc 5. Estadística i probabilitat,Matemàtiques II,,
180,MII.5.6,Distribució binomial. Caracterització i identificació del model. Càlcul de probabilitats,Bloc 5. Estadística i probabilitat,Matemàtiques II,,
181,Q.1.1,Estratègies pròpies de l’activitat científica,Bloc 1. L'activitat científica,Química,,
182,Q.1.2,Tecnologies de la informació i la comunicació,Bloc 1. L'activitat científica,Química,,
183,Q.1.3,Importància de la investigació científica en la indústria i en l’empresa,Bloc 1. L'activitat científica,Química,,
184,Q.2.1,Estructura de la matèria. Hipòtesi de Planck. Model atòmic de Bohr,"Bloc 2. Origen i evolució dels components de l’univers estructura de la matèria. l’àtom, la taula periòdica i l’enllaç químic",Química,,
185,Q.2.2,"Mecànica quàntica: Hipòtesi de De Broglie, Principi d’Incertesa d’Heisenberg","Bloc 2. Origen i evolució dels components de l’univers estructura de la matèria. l’àtom, la taula periòdica i l’enllaç químic",Química,,
186,Q.2.3,Orbitals atòmics. Nombres quàntics i la seva interpretació,"Bloc 2. Origen i evolució dels components de l’univers estructura de la matèria. l’àtom, la taula periòdica i l’enllaç químic",Química,,
187,Q.2.4,Partícules subatòmiques: origen de l’Univers,"Bloc 2. Origen i evolució dels components de l’univers estructura de la matèria. l’àtom, la taula periòdica i l’enllaç químic",Química,,
